Accounting,22
Aerospace Engineering,8
Ancient History,16
Architecture and Building,64
Biological Sciences,18
Biostatistics,7
Biotechnology,4
Business,10
Business Analytics,7
Chemical Engineering,22
Chemistry,18
Chinese,10
Civil Engineering,52
Clinical Medicine (Leadership and Management),4
Communications and Media Studies,32
Computer Science,34
Creative Industries,38
Creative and Performing Arts,10
Criminology,8
Design,33
Economics,13
Education,205
Education Studies,1
Electrical Engineering,33
Enabling - Art,5
Enabling - Biological Sciences,5
Enabling - Chemistry,3
Enabling - Education,3
Enabling - Engineering,2
Enabling - General Science,3
Enabling - Geoscience,3
Enabling - Health,3
Enabling - Humanities,31
Enabling - Indigenous Studies,10
Enabling - Information Technology,1
Enabling - Management and Commerce,3
Enabling - Mathematics,16
Enabling - Physics,3
Engineering and Related Technologies,19
English,31
English as a Second Language,2
Environmental Risk Assessment & Remediation,14
Environmental Studies,37
Epidemiology,6
Executive Master of Business Administration,8
Exercise and Sport Science,36
"Film, Media and Cultural Studies",14
Fine Art,10
Foundation Biology,1
Foundation Engineering,4
Foundation Legal Studies,1
Foundation Mathematics,4
Foundation Physics,2
Foundation Science,2
Foundation Studies in Human Society,1
Foundational Information Technology,1
Foundational Literacies,4
French,8
General Science and Technology,1
Geoscience,18
German,8
Global Master of Business Administration,16
Graduate Business,45
Graduate Business Research,3
Health Promotion,1
Health Sciences,13
History,27
Human Biosciences,37
Human Geography,17
Human Nutrition,21
Human Services,11
Humanities and Social Science,8
Indigenous Health,5
Indigenous Studies,44
Indonesian,4
Industrial Relations and Human Resources,8
Information Systems,6
Information Technology,23
International Business,4
Japanese,10
Law,110
Legal Studies,11
Leisure and Tourism,5
Linguistics,30
Management,16
Marine Science,11
Marketing,9
Materials Science and Engineering,10
Mathematics,28
Mechanical Engineering,29
Mechatronics Engineering,4
Medical Engineering,11
Medical Radiation Science,45
Medicine,27
Midwifery,32
Music,32
Music Technology,3
Natural History Illustration,6
Nursing,63
Nutrition and Dietetics,16
Occupational Health and Safety,21
Occupational Therapy,18
Oral Health,17
Orthopaedic,2
Pharmacy,28
Philosophy,6
Physics,19
Physiotherapy,17
Podiatry,15
Political Science,15
Postgraduate Trans-discipline,6
Professional Accounting,12
Psychology,69
Public Health,23
Public Health - Community Health,9
Renewable Energy Engineering,6
Science,15
Social Science,8
Social Work,14
"Societies, Culture and Human Services",5
Society and Culture,5
Sociology and Anthropology,29
Software Engineering,30
Speech Pathology,22
Statistics,26
Surgery,4
Surveying,26
Sustainable Resource Management,5
Tourism,5
Traumatology,6
eBusiness,2
